"station","latitude","longitude","name"
63869,30.5485,-87.8757,"Fairhope 3NE"
63857,34.2851,-85.9621,"Gadsden 19 N"
63858,32.4567,-87.2422,"Selma 13 WNW"
23904,35.8201,-91.7812,"Batesville 8 WNW"
53132,31.5907,-110.5087,"Elgin 5S"
53131,32.2395,-111.1696,"Tucson 11 W"
53155,35.75505,-112.3374,"Williams 35 NNW"
53154,32.835,-114.1884,"Yuma 27 ENE"
93245,38.3208,-123.0747,"Bodega 6 WSW"
53151,33.4392,-117.1904,"Fallbrook 5 NE"
93243,37.2381,-120.8825,"Merced 23 WSW"
4222,40.6507,-122.6068,"Redding 12 WNW"
53152,34.4141,-119.8796,"Santa Barbara 11 W"
53139,36.602,-117.1449,"Stovepipe Wells 1 SW"
53150,37.75918,-119.8208,"Yosemite Village 12 W"
94075,40.0354,-105.5409,"Boulder 14 W"
3061,37.2553,-108.5035,"Cortez 8 SE"
94082,40.2446,-108.9677,"Dinosaur 2 E"
3063,37.8639,-103.8224,"La Junta 17 WSW"
3060,38.544,-107.6928,"Montrose 11 ENE"
94074,40.8066,-104.7552,"Nunn 7 NNE"
92826,25.8996,-81.3183,"Everglades City 5 NE"
92827,27.1526,-81.3689,"Sebring 23 SSE"
92821,28.6159,-80.6929,"Titusville 7 E"
63856,30.8078,-81.4596,"Brunswick 23 S"
63829,31.1923,-84.4465,"Newton 11 SW"
63828,31.3127,-84.4706,"Newton 8 W"
63850,33.7837,-83.3896,"Watkinsville 5 SSE"
54902,41.5562,-93.2855,"Des Moines 17 E"
4126,43.4621,-113.556,"Arco 17 SW"
4127,43.2044,-116.7505,"Murphy 10 W"
54808,40.0528,-88.3729,"Champaign 9 SW"
54811,41.843,-88.8513,"Shabbona 5 NNE"
63898,38.8818,-86.5707,"Bedford 5 WNW"
53974,39.1027,-96.6098,"Manhattan 6 SSW"
3067,38.8701,-100.9627,"Oakley 19 SSW"
63849,37.2504,-86.2325,"Bowling Green 21 NNE"
63838,38.0945,-84.7465,"Versilles 3 NNW"
53960,30.0918,-91.8731,"Lafayette 13 SE"
53961,32.8833,-92.1165,"Monroe 26 N"
94645,46.9601,-67.8833,"Limestone 4 NNW"
94644,44.9281,-68.7006,"Old Town 2 W"
54810,46.3345,-86.92,"Chatham 1 SE"
54854,44.908,-84.7203,"Gaylord 9 SSW"
4994,48.3055,-95.8744,"Goodridge 12 NNW"
54932,46.1135,-92.9936,"Sandstone 6 W"
13301,39.8668,-93.147,"Chillicothe 22 ENE"
23908,37.4277,-94.5829,"Joplin 24 N"
23909,37.6344,-91.7226,"Salem 10 W"
23803,34.8223,-89.4348,"Holly Springs 4 N"
63831,32.3378,-89.0703,"Newton 5 ENE"
4137,45.158,-113.0057,"Dillon 18 WSW"
4140,46.8847,-110.2895,"Lewistown 42 WSW"
4130,48.7412,-113.433,"St. Mary 1 SSW"
94060,48.3082,-105.1018,"Wolf Point 29 ENE"
94059,48.4887,-105.2096,"Wolf Point 34 NE"
53878,35.4185,-82.5567,"Asheville 13 S"
53877,35.4945,-82.6142,"Asheville 8 SSW"
3758,35.9705,-79.0931,"Durham 11 W"
54937,46.7702,-99.4778,"Jamestown 38 WSW"
94080,46.8946,-103.3769,"Medora 7 E"
94084,48.9676,-102.1702,"Northgate 5 ESE"
94077,42.4247,-103.7363,"Harrison 20 SSE"
94996,40.6954,-96.8541,"Lincoln 11 SW"
94995,40.8484,-96.5651,"Lincoln 8 ENE"
94079,42.068,-101.445,"Whitman 5 ENE"
54794,43.1716,-70.9277,"Durham 2 N"
54795,43.1092,-70.9484,"Durham 2 SSW"
3074,32.6137,-106.7414,"Las Cruces 20 N"
3062,35.8584,-106.5214,"Los Alamos 13 W"
3048,34.3557,-106.8859,"Socorro 20 N"
53138,39.0118,-114.209,"Baker 5 W"
4139,41.8484,-119.6357,"Denio 52 WSW"
53136,36.624,-116.0225,"Mercury 3 SSW"
64758,42.4401,-76.2462,"Ithaca 13 E"
64756,41.7857,-73.7422,"Millbrook 3 W"
54851,40.3667,-81.7829,"Coshocton 8 NNE"
3055,36.5993,-101.595,"Goodwell 2 E"
53182,36.5682,-101.6097,"Goodwell 2 SE"
53926,36.1181,-97.0914,"Stillwater 2 W"
53927,36.1346,-97.1082,"Stillwater 5 WNW"
4141,43.2718,-124.3186,"Coos Bay 8 SW"
4236,44.4185,-123.3257,"Corvallis 10 SSW"
4125,44.556,-119.6459,"John Day 35 WNW"
4128,43.4711,-119.6917,"Riley 10 WSW"
3761,39.8593,-75.7861,"Avondale 2 N"
54796,41.4911,-71.5413,"Kingston 1 NW"
54797,41.4782,-71.5417,"Kingston 1 W"
63826,33.355,-81.3279,"Blackville 3 W"
3728,33.1532,-79.3637,"McClellanville 7 NE"
54933,45.7115,-99.1296,"Aberdeen 35 WNW"
94081,45.516,-103.3017,"Buffalo 13 ESE"
94085,44.0194,-100.353,"Pierre 24 S"
4990,43.7346,-96.6222,"Sioux Falls 14 NNE"
63855,36.0138,-85.1345,"Crossville 7 NW"
23907,30.6222,-98.0846,"Austin 33 NW"
3072,32.0408,-100.2495,"Bronte 11 NNE"
12987,26.5258,-98.0633,"Edinburg 17 NNE"
3047,31.6219,-102.8071,"Monahans 6 ENE"
3054,33.9557,-102.774,"Muleshoe 19 S"
53968,31.7796,-95.7232,"Palestine 6 WNW"
22016,29.3483,-103.2093,"Panther Junction 2 N"
23906,28.3045,-96.823,"Port Aransas 32 NNE"
4138,41.6163,-112.5437,"Brigham City 28 WNW"
3739,37.2907,-75.927,"Cape Charles 5 ENE"
3759,37.9975,-78.4656,"Charlottesville 2 SSE"
4223,48.5405,-121.446,"Darrington 21 NNE"
4237,47.5139,-123.812,"Quinault 4 NE"
4136,47.4174,-117.5264,"Spokane 17 SSW"
54903,44.0604,-90.1737,"Necedah 5 WNW"
3733,39.013,-79.4743,"Elkins 21 ENE"
94078,42.6754,-108.6686,"Lander 11 SSE"
4131,43.6615,-110.712,"Moose 1 NNE"
94088,44.5169,-104.4363,"Sundance 8 NNW"
