StationName,StationID,WBANNO
Wolf Point 34 NE,70560111,94059
Fairhope 3 NE,70010611,63869
Monahans 6 ENE,70990312,03047
Cullman 3 ENE,,63867
Durham 11 W,70590712,03758
Yuma 27 ENE,70080812,53154
Kingston 1 W,70880111,54797
Merced 23 WSW,70110411,93243
Lewistown 42 WSW,70530811,04140
Red Dog Mine 3 SSW,,26655
Austin 33 NW,70960712,23907
Newton 5 ENE,70510211,63831
Fallbrook 5 NE,70100712,53151
Stovepipe Wells 1 SW,70140412,53139
Titusville 7 E,70240511,92821
Tiksi 4 SSE,,37201
Lincoln 11 SW,70640211,94996
Necedah 5 WNW,71100411,54903
Sundance 8 NNW,71140711,94088
Kenai 29 ENE,,26563
La Junta 17 WSW,70190412,03063
Troy 2 W,,23801
Santa Barbara 11 W,70130711,53152
Goodridge 12 NNW,70450311,04994
Manhattan 6 SSW,70350312,53974
Buffalo 13 ESE,70920411,94081
Watkinsville 5 SSE,70280411,63850
Harrison 20 SSE,70630312,94077
Mauna Loa 5 NNE,,21514
Corvallis 10 SSW,70830611,04236
Spokane 17 SSW,71090711,04136
Muleshoe 19 S,71000412,03054
Durham 2 SSW,70680111,54795
Newton 8 W,70270211,63828
Darrington 21 NNE,71070311,04223
Gadsden 19 N,70020511,63857
Gaylord 9 SSW,70440711,54854
Yosemite Village 12 W,70150711,53150
Goodwell 2 E,70780412,03055
Millbrook 3 W,70760411,64756
Moose 1 NNE,71130412,04131
Baker 5 W,70720411,53138
Stillwater 5 WNW,70810212,53927
Aberdeen 35 WNW,70910711,54933
Lincoln 8 ENE,70650211,94995
Deadhorse 3 S,,26565
Pierre 24 S,70930611,94085
Limestone 4 NNW,70410211,94645
Everglades City 5 NE,70220711,92826
Palestine 6 WNW,71010312,53968
Brunswick 23 S,70250411,63856
Torrey 7 E,,53149
Northgate 5 ESE,70620611,94084
Stillwater 2 W,70800212,53926
Los Alamos 13 W,70700411,03062
Blackville 3 W,70890211,63826
Selma 13 WNW,70030511,63858
Ruby 44 ESE,,96406
Medora 7 E,70610411,94080
Brigham City 28 WNW,71040711,04138
Lander 11 SSE,71120411,94078
Joplin 24 N,70480712,23908
Whitman 5 ENE,70660411,94079
Cortez 8 SE,70170512,03061
Sitka 1 NE,,25379
Crossville 7 NW,70950412,63855
Barrow 4 ENE,,27516
Elkins 21 ENE,71110311,03733
Russellville 4 SSE,,63895
Scottsboro 2 NE,,63896
Holly Springs 4 N,70500811,23803
Socorro 20 N,70710311,03048
Gainesville 2 NE,,63892
Durham 2 N,70670111,54794
Northport 2 S,,73801
Champaign 9 SW,70320211,54808
Redding 12 WNW,70120311,04222
Bedford 5 WNW,70340711,63898
Bowling Green 21 NNE,70370411,63849
Brewton 3 NNE,,63899
Ivotuk 1 NNE,,26564
St. Paul 4 NE,,25711
Ithaca 13 E,70750411,64758
Hilo 5 S,,21515
Port Aransas 32 NNE,71030712,23906
Sand Point 1 ENE,,25630
Highland Home 2 S,,73802
Glennallen 64 N,,56401
Des Moines 17 E,70290411,54902
Fairbanks 11 NE,,26494
Elgin 5 S,70050212,53132
Batesville 8 WNW,70040611,23904
Riley 10 WSW,70850311,04128
Old Town 2 W,70420211,94644
Arco 17 SW,70300311,04126
Bronte 11 NNE,70970612,03072
Asheville 13 S,70570012,53878
Shabbona 5 NNE,70330312,54811
Port Alsworth 1 SW,,26562
John Day 35 WNW,70840411,04125
Lafayette 13 SE,70390211,53960
Selma 6 SSE,,63897
Montrose 11 ENE,70200412,03060
Gustavus 2 NE,,25380
Wolf Point 29 ENE,70550111,94060
Dillon 18 WSW,70520711,04137
Oakley 19 SSW,70360512,03067
Metlakatla 6 S,,25381
Mercury 3 SSW,70740412,53136
Versailles 3 NNW,70380311,63838
Greensboro 2 WNW,,63893
Muscle Shoals 2 N,,63894
Quinault 4 NE,71080611,04237
Murphy 10 W,70310312,04127
Coos Bay 8 SW,70820812,04141
King Salmon 42 SE,,25522
Chatham 1 SE,70430411,54810
Newton 11 SW,70260211,63829
Kingston 1 NW,70870111,54796
Salem 10 W,70490711,23909
Tucson 11 W,70060212,53131
St. Mary 1 SSW,70540311,04130
Denio 52 WSW,70730711,04139
Panther Junction 2 N,71020712,22016
Jamestown 38 WSW,70600811,54937
Monroe 26 N,70400311,53961
Edinburg 17 NNE,70980412,12987
Egbert 1 W,,64757
Boulder 14 W,70160311,94075
Williams 35 NNW,70070811,53155
Avondale 2 N,70860611,03761
Sandstone 6 W,70460711,54932
Coshocton 8 NNE,70770611,54851
Goodwell 2 SE,70791112,53182
Cape Charles 5 ENE,71050411,03739
Charlottesville 2 SSE,71060711,03759
Talladega 10 NNE,,73803
Bodega 6 WSW,70090711,93245
Sebring 23 SSE,70230711,92827
Chillicothe 22 ENE,70470511,13301
Dinosaur 2 E,70180412,94082
Tok 70 SE,,96404
Sioux Falls 14 NNE,70940211,04990
Valley Head 1 SSW,,63862
McClellanville 7 NE,70900211,03728
Nunn 7 NNE,70210312,94074
Thomasville 2 S,,23802
Clanton 2 NE,,63891
Asheville 8 SSW,70580012,53877
Las Cruces 20 N,70690712,03074
Courtland 2 WSW,,63868
