stid, ,WCR05,WCS05,A05,N05,WCR25,WCS25,A25,N25,WCR60,WCS60,A60,N60,WCR75,WCS75,A75,N75
ACME,110,0.02,0.433,52.8,1.36,0.038,0.426,39,1.36,0.059,0.364,38.8,1.34,0.057,0.35,36.3,1.3
ADAX,1,0.032,0.526,59.9,1.31,0.043,0.33,14.5,1.26,0.042,0.331,7.1,1.26,0.044,0.335,7.6,1.23
ALTU,2,0.061,0.399,11,1.31,0.066,0.412,10.5,1.28,0.064,0.395,13.6,1.18,0.06,0.389,11.1,1.18
ALV2,116,0.054,0.382,3.9,1.44,0.073,0.439,1.2,1.7,0.074,0.398,23.2,1.2,NaN,NaN,NaN,NaN
ALVA,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ANT2,135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ANTL,4,0.019,0.459,76.9,1.65,0.019,0.435,73,1.64,0.015,0.271,28.8,1.36,0.018,0.273,34.7,1.36
APAC,111,0.022,0.409,49.4,1.38,0.038,0.393,35.6,1.36,0.057,0.389,12.1,1.31,0.06,0.382,14.7,1.24
ARD2,126,0.065,0.446,36.8,1.36,0.064,0.414,11.8,1.3,0.065,0.424,7.2,1.22,0.067,0.405,13.7,1.18
ARDM,5,0.209,0.44,29.441,1.488,0.181,0.49,55.583,1.151,0.228,0.466,25.965,1.23,0.023,0.466,68.781,1.079
ARNE,6,0.037,0.372,14.9,1.38,0.047,0.419,29.1,1.36,0.055,0.406,33.3,1.36,0.055,0.396,31.2,1.35
BBOW,7,0.021,0.358,14,1.42,0.046,0.371,15.2,1.35,0.053,0.365,11.6,1.28,0.051,0.364,8.5,1.31
BEAV,8,0.043,0.389,14.9,1.37,0.052,0.426,19.4,1.36,0.079,0.406,48,1.45,0.053,0.404,21.7,1.34
BEEX,119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BESS,9,0.044,0.413,13.3,1.38,0.038,0.423,37.9,1.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIXB,10,0.025,0.451,6.4,1.51,0.023,0.347,17.4,1.39,0.031,0.356,8.2,1.46,0.039,0.372,4.2,1.58
BLAC,11,0.057,0.408,15.1,1.33,0.068,0.446,7.2,1.4,0.062,0.397,10.5,1.26,NaN,NaN,NaN,NaN
BOIS,12,0.046,0.466,16.3,1.37,0.063,0.437,3.6,1.56,0.066,0.423,2.6,1.59,0.067,0.422,2.2,1.63
BOWL,13,0.021,0.428,24.6,1.35,0.044,0.356,12.5,1.33,0.057,0.38,10.7,1.26,0.059,0.376,13.9,1.25
BREC,14,0.057,0.42,9.3,1.39,0.091,0.46,23.2,1.23,0.075,0.443,15.1,1.16,0.075,0.42,21.5,1.15
BRIS,15,0.025,0.453,39.4,1.34,0.032,0.36,10.9,1.42,0.037,0.369,9.1,1.43,0.039,0.365,7.6,1.44
BROK,124,0.021,0.358,14,1.42,0.046,0.371,15.2,1.35,0.053,0.365,11.6,1.28,0.051,0.364,8.5,1.31
BUFF,16,0.031,0.375,13.2,1.41,0.033,0.368,11.5,1.42,0.059,0.418,24.4,1.34,0.059,0.403,13.3,1.34
BURB,17,0.051,0.425,4.9,1.56,0.054,0.421,6.9,1.47,0.069,0.425,10,1.3,0.076,0.418,20,1.26
BURN,18,0.018,0.331,38.9,1.39,0.02,0.345,23.4,1.38,0.026,0.325,54.8,1.51,0.02,0.344,45.6,1.41
BUTL,19,0.072,0.479,57.2,1.55,0.051,0.425,10.8,1.42,0.073,0.417,15.4,1.22,0.056,0.358,18.5,1.25
BYAR,20,0.022,0.36,23.6,1.37,0.051,0.37,24.9,1.31,0.053,0.336,28.9,1.25,0.052,0.326,27.3,1.23
CALV,21,0.178,0.459,20.657,1.962,0.172,0.392,24.244,1.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAMA,22,0.022,0.362,15.9,1.41,0.025,0.374,37.4,1.39,0.023,0.408,37.3,1.38,0.023,0.396,38,1.38
CARL,131,0.029,0.411,30.6,1.38,0.054,0.424,10.7,1.39,0.064,0.403,12.9,1.28,0.059,0.384,11.8,1.27
CATO,112,0.226,0.467,11.827,1.488,0.18,0.467,33.982,1.213,0.243,0.466,37.712,1.18,NaN,NaN,NaN,NaN
CENT,23,0.031,0.366,9.9,1.42,0.031,0.355,28.2,1.37,0.053,0.376,3.5,1.43,0.055,0.364,14.8,1.23
CHAN,24,0.025,0.38,40.6,1.37,0.041,0.343,18.3,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHER,25,0.024,0.361,19.5,1.39,0.028,0.352,11.4,1.43,0.03,0.401,34.3,1.38,0.029,0.393,37,1.39
CHEY,26,0.04,0.377,17.9,1.36,0.045,0.433,32.4,1.36,0.066,0.424,19.9,1.32,0.065,0.423,30.9,1.35
CHIC,27,0.06,0.483,8.9,1.44,0.089,0.513,23.6,1.31,0.1,0.427,36.9,1.24,0.098,0.392,47.2,1.15
CLAR,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CLAY,29,0.03,0.435,28.4,1.35,0.037,0.454,23.6,1.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CLOU,30,0.031,0.358,2.7,1.8,0.031,0.359,9.2,1.45,0.086,0.384,39.5,1.29,NaN,NaN,NaN,NaN
CLRM,122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COOK,31,0.026,0.471,9.3,1.42,0.03,0.388,7.8,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COPA,32,0.037,0.387,10.7,1.42,0.093,0.485,56.6,1.81,0.054,0.417,13.2,1.34,0.06,0.389,26,1.28
DURA,33,0.046,0.402,9.2,1.41,0.046,0.381,26.9,1.35,0.07,0.478,6.4,1.19,0.069,0.437,14.4,1.15
ELRE,34,0.074,0.451,1.3,2.18,0.049,0.399,7.6,1.45,0.073,0.401,20.2,1.21,NaN,NaN,NaN,NaN
ERIC,35,0.026,0.39,49.3,1.41,0.026,0.378,29.7,1.37,0.043,0.389,17.1,1.36,0.048,0.386,9.2,1.39
EUFA,36,0.045,0.363,2,1.81,0.064,0.405,10.5,1.23,0.06,0.382,17.8,1.13,0.062,0.385,19.7,1.12
FAIR,37,0.034,0.405,15.4,1.4,0.049,0.41,9,1.43,0.068,0.42,16.2,1.31,0.065,0.384,16.1,1.21
FITT,127,0.033,0.425,32.8,1.35,0.06,0.438,48,1.39,0.051,0.387,6.3,1.21,0.048,0.374,2.3,1.35
FORA,38,0.034,0.456,11.5,1.4,0.044,0.421,14.1,1.38,0.043,0.369,6.5,1.41,NaN,NaN,NaN,NaN
FREE,39,0.028,0.418,7.6,1.51,0.023,0.451,21.2,1.38,0.037,0.414,18,1.39,0.043,0.397,10,1.44
FTCB,40,0.027,0.441,67.9,1.51,0.045,0.436,50.6,1.39,0.036,0.343,35.8,1.35,0.027,0.286,33.9,1.33
GOOD,41,0.055,0.424,20.5,1.34,0.064,0.409,15.2,1.3,0.075,0.471,58,1.69,NaN,NaN,NaN,NaN
GRA2,117,0.088,0.461,31.1,1.3,0.063,0.421,4.8,1.21,0.059,0.409,6.8,1.15,0.058,0.388,12.1,1.12
GRAN,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GUTH,43,0.04,0.354,11.4,1.36,0.055,0.378,8.2,1.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HASK,44,0.07,0.424,1,2.34,0.039,0.395,3.6,1.69,0.061,0.423,9.3,1.39,0.071,0.444,5.5,1.24
HECT,113,0.028,0.362,7.3,1.49,0.026,0.458,61.9,1.39,0.046,0.39,48.8,1.42,0.078,0.497,5.2,1.26
HINT,45,0.024,0.433,66.9,1.5,0.031,0.426,65.1,1.56,0.028,0.378,54.2,1.46,0.024,0.335,38.6,1.38
HOBA,46,0.055,0.433,13.5,1.38,0.09,0.451,24.8,1.19,0.083,0.401,32.2,1.16,0.109,0.395,50.8,1.2
HOLD,134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
